length, entropy, alexa_grams, word_grams, diff, class
9,2.947703,34.642952,44.530676,-9.887724,legit
19,3.576618,68.519592,63.21857,5.301022,legit
6,2.584963,15.352052,17.58826,-2.236208,legit
11,2.845351,22.135015,23.998414,-1.863399,legit
39,3.902937,159.88822,185.671146,-25.782926,legit
9,2.725481,10.132495,10.418126,-0.285631,legit
7,2.521641,14.009182,15.620656,-1.611475,legit
12,3.022055,27.190333,38.164019,-10.973686,legit
9,2.725481,7.920546,8.084064,-0.163518,legit
17,3.499228,63.234424,72.197427,-8.963003,legit
19,3.431624,77.581722,108.597923,-31.016202,legit
5,2.321928,5.778961,0,5.778961,legit
6,1.918296,16.311445,17.712076,-1.400632,legit
9,2.725481,30.386517,33.798089,-3.411572,legit
8,2.75,12.102948,12.329773,-0.226826,legit
6,2.584963,10.455951,7.960342,2.495609,legit
8,1.905639,12.525187,19.317601,-6.792414,legit
5,1.921928,6.750872,11.114926,-4.364054,legit
30,3.789898,128.560076,158.96872,-30.408644,legit
7,2.807355,12.537838,9.021795,3.516044,legit
5,2.321928,3.709015,4.058805,-0.34979,legit
11,3.095795,19.345952,21.757753,-2.411802,legit
5,1.921928,3.494155,4.368231,-0.874076,legit
9,2.725481,21.754712,24.304414,-2.549702,legit
17,3.337175,51.551124,48.497142,3.053982,legit
7,2.521641,22.109359,27.728521,-5.619162,legit
6,2.584963,3.908485,6.249249,-2.340764,legit
26,3.642371,93.753758,126.633319,-32.879561,legit
11,3.095795,45.293102,34.809444,10.483658,legit
13,3.026987,49.69513,46.287904,3.407226,legit
5,1.921928,7.549273,10.37065,-2.821377,legit
14,3.182006,54.427091,68.967561,-14.54047,legit
8,2.75,23.635041,32.483337,-8.848296,legit
7,2.807355,18.864175,12.967443,5.896732,legit
4,1.5,3.88773,4.808549,-0.920819,legit
10,2.921928,14.387589,16.299807,-1.912218,legit
7,2.807355,22.884188,23.95477,-1.070582,legit
6,2.251629,14.327466,20.931313,-6.603847,legit
5,2.321928,12.184285,16.866409,-4.682124,legit
14,2.896292,59.58223,70.71899,-11.13676,legit
14,2.46772,59.676786,92.260205,-32.583419,legit
15,3.240224,63.503859,63.09836,0.405499,legit
12,3.251629,58.033172,64.774276,-6.741104,legit
13,3.238901,53.0988,54.55426,-1.45546,legit
15,3.323231,51.710481,73.938405,-22.227924,legit
8,2.75,32.657081,30.862258,1.794823,legit
6,2.251629,7.847206,13.936021,-6.088815,legit
13,2.873141,52.097708,69.917133,-17.819425,legit
